deck_type,card_value,count
standard,1,1
standard,2,2
standard,3,3
standard,4,4
standard,5,4
standard,6,4
standard,7,4
standard,8,3
standard,9,2
standard,10,1
dummy,1,2
dummy,2,2
dummy,3,2
dummy,4,3
dummy,5,2
dummy,6,2
dummy,7,4
dummy,8,5
dummy,9,4
dummy,10,2
easy_dummy,1,4
easy_dummy,2,4
easy_dummy,3,3
easy_dummy,4,3
easy_dummy,5,2
easy_dummy,6,2
easy_dummy,7,3
easy_dummy,8,3
easy_dummy,9,2
easy_dummy,10,2
medium_dummy,1,3
medium_dummy,2,3
medium_dummy,3,3
medium_dummy,4,3
medium_dummy,5,2
medium_dummy,6,2
medium_dummy,7,4
medium_dummy,8,4
medium_dummy,9,2
medium_dummy,10,2
hard_dummy,1,2
hard_dummy,2,2
hard_dummy,3,2
hard_dummy,4,3
hard_dummy,5,3
hard_dummy,6,2
hard_dummy,7,4
hard_dummy,8,4
hard_dummy,9,4
hard_dummy,10,2
