card_id,player_name,role,identity_tags,rarity_bucket,enabled,source_team
B_SET_SARGE,Sarge,Setter,tempo|quickset|aggressive,core,true,Blitz
B_OPP_STRIKE,Strike,OPP,power|pierce|finisher,core,true,Blitz
B_MB_RAM,Ram,MB,block|slide|frontline,core,true,Blitz
B_OH_BLAZE,Blaze,OH,spin|tempo|kill,core,true,Blitz
B_DS_DASH,Dash,DS,coverage|defense|chase,core,true,Blitz
B_LIB_REED,Reed,Libero,defense|floor|stability,core,true,Blitz
G_SET_ECHO,Echo,Setter,control|distribution|tempo,core,true,Grind
G_OPP_LANCE,Lance,OPP,pierce|power|control,core,true,Grind
G_MB_SHIELD,Shield,MB,seam|block|control,core,true,Grind
G_OH_DRIFT,Drift,OH,roll|control|consistency,core,true,Grind
G_DS_SCOOP,Scoop,DS,dig|coverage|stability,core,true,Grind
G_LIB_RIVER,River,Libero,defense|stability|floor,core,true,Grind
S_SET_WEAVE,Weave,Setter,lane|tempo|utility,core,true,Spread
S_OPP_VECTOR,Vector,OPP,seam|lane|finisher,core,true,Spread
S_MB_PIVOT,Pivot,MB,slide|lane|utility,core,true,Spread
S_OH_RIBBON,Ribbon,OH,roll|lane|tempo,core,true,Spread
S_DS_ORBIT,Orbit,DS,dig|coverage|lane,core,true,Spread
S_LIB_ANCHOR,Anchor,Libero,defense|stability|anchor,core,true,Spread
BK_SET_RELAY,Relay,Setter,transition|tempo|utility,core,true,Backline
BK_OPP_CANNON,Cannon,OPP,backrow|power|finisher,core,true,Backline
BK_MB_TOWER,Tower,MB,block|variance|control,core,true,Backline
BK_OH_SNIPE,Snipe,OH,backrow|transition|finisher,core,true,Backline
BK_DS_ECHO_DS,Echo,DS,transition|dig|coverage,core,true,Backline
BK_LIB_FLOOR,Floor,Libero,defense|transition|floor,core,true,Backline
