player_name,role,ability_name,trigger,condition_field,condition_value,effect,effect_value,is_active,description
Sarge,Setter,Command Set,on_set,set_card_value,>=6,set_value_delta,2,false,Set >=6: set value +2
Strike,OPP,Power Arm,on_attack,attack_card_value,>=7,over_block_bonus,3,false,Attack >=7: effective attack +3 over block
Ram,MB,Front Wall,on_block,,,block_value_bonus,2,false,Block: value +2
Blaze,OH,Drive Shot,on_attack,attack_card_value,>=8,roll_shot,1,false,Attack >=8: roll shot (bypasses normal dig)
Dash,DS,Hot Pursuit,on_dig_failure,,,chase_card_bonus,3,false,After failed dig: chase card +3
Reed,Libero,Sure Hands,on_dig,,,dig_threshold,1,false,Dig threshold +1
Echo,Setter,Float Serve,on_serve,,,serve_value_bonus,2,false,Serve: card value +2
Lance,OPP,Needle,on_attack,attack_card_value,>=8,pierce_block,1,false,Attack >=8: ignore 1 blocker's card
Shield,MB,Wide Net,on_block,,,adjacent_block_bonus,2,false,Block: adjacent lanes +2
Drift,OH,Heavy Topspin,on_attack,attack_card_value,>=7,attack_value_bonus,2,false,Attack >=7: attack value +2
Scoop,DS,Safety Net,on_dig_failure,,,chase_card_bonus,2,false,After failed dig: chase card +2
River,Libero,Clean Pass,on_dig_success,dig_type,normal,set_value_delta,2,false,After successful normal dig: set value +2
Breeze,Setter,Soft Set,on_set,set_card_value,>=5,set_value_delta,2,false,Set >=5: set value +2
Clutch,OPP,Lucky Swing,on_attack,attack_card_value,>=7,over_block_bonus,5,false,Attack >=7: effective attack +5 over block
Anchor,MB,Steady Block,on_block,,,adjacent_block_bonus,2,false,Block: adjacent lanes +2
Grit,OH,Hustle,on_attack,attack_card_value,>=7,roll_shot,1,false,Attack >=7: roll shot (bypasses normal dig)
Scrap,DS,Scramble,on_dig_failure,,,chase_card_bonus,3,false,After failed dig: chase card +3
Hope,Libero,Safe Hands,on_dig,,,dig_threshold,1,false,Dig threshold +1
Vex,Setter,Precision Set,on_set,set_card_value,>=5,set_value_delta,3,false,Set >=5: set value +3
Flip,OPP,Power Cut,on_attack,attack_card_value,>=7,over_block_bonus,5,false,Attack >=7: effective attack +5 over block
Shift,MB,Block Shift,on_block,,,adjacent_block_bonus,4,false,Block: adjacent lanes +4
Trickster,OH,Snap Shot,on_attack,attack_card_value,>=7,roll_shot,1,false,Attack >=7: roll shot (bypasses normal dig)
Snatch,DS,Quick Save,on_dig_failure,,,chase_card_bonus,4,false,After failed dig: chase card +4
Mirror,Libero,Reflect Pass,on_dig,,,dig_threshold,2,false,Dig threshold +2
Conductor,Setter,Command Rally,on_set,,,set_value_delta,4,false,Set: value +4
Bandit,OPP,Overpower,on_attack,attack_card_value,>=6,over_block_bonus,6,false,Attack >=6: effective attack +6 over block
Atlas,MB,Iron Wall,on_block,,,adjacent_block_bonus,5,false,Block: adjacent lanes +5
Shadow,OH,Phantom Shot,on_attack,attack_card_value,>=6,roll_shot,1,false,Attack >=6: roll shot (bypasses normal dig)
Surge,DS,Wave Break,on_dig_failure,,,chase_card_bonus,6,false,After failed dig: chase card +6
Vault,Libero,Iron Hands,on_dig,,,dig_threshold,2,false,Dig threshold +2
