team,dummy,games,seed,exit_code,team_wins,team_win_pct,dummy_wins,dummy_win_pct,avg_exchanges,top1,top2,top3,log_file
DraftA,Easy,2000,42,0,1681,84.0,319,16.0,1.82,Stuffed,Tip not dug,Deflect not dug,results/draft_gauntlet_DraftA_vs_Easy_2026-05-28.log
DraftA,Medium,2000,42,0,1216,60.8,784,39.2,3.06,Tip not dug,Stuffed,Deflect not dug,results/draft_gauntlet_DraftA_vs_Medium_2026-05-28.log
DraftA,Hard,2000,42,0,772,38.6,1228,61.4,2.34,Deflect not dug,Tip not dug,Stuffed,results/draft_gauntlet_DraftA_vs_Hard_2026-05-28.log
DraftB,Easy,2000,42,0,1623,81.2,377,18.9,1.85,Stuffed,Tip not dug,Deflect not dug,results/draft_gauntlet_DraftB_vs_Easy_2026-05-28.log
DraftB,Medium,2000,42,0,1023,51.1,977,48.9,3.21,Tip not dug,Stuffed,Deflect not dug,results/draft_gauntlet_DraftB_vs_Medium_2026-05-28.log
DraftB,Hard,2000,42,0,724,36.2,1276,63.8,2.32,Deflect not dug,Tip not dug,Stuffed,results/draft_gauntlet_DraftB_vs_Hard_2026-05-28.log
EvenA,Easy,2000,42,0,1629,81.5,371,18.6,1.85,Stuffed,Tip not dug,Deflect not dug,results/draft_gauntlet_EvenA_vs_Easy_2026-05-28.log
EvenA,Medium,2000,42,0,1026,51.3,974,48.7,3.2,Tip not dug,Stuffed,Deflect not dug,results/draft_gauntlet_EvenA_vs_Medium_2026-05-28.log
EvenA,Hard,2000,42,0,678,33.9,1322,66.1,2.42,Deflect not dug,Tip not dug,Stuffed,results/draft_gauntlet_EvenA_vs_Hard_2026-05-28.log
EvenB,Easy,2000,42,0,1694,84.7,306,15.3,1.82,Stuffed,Tip not dug,Deflect not dug,results/draft_gauntlet_EvenB_vs_Easy_2026-05-28.log
EvenB,Medium,2000,42,0,1232,61.6,768,38.4,3.05,Tip not dug,Stuffed,Deflect not dug,results/draft_gauntlet_EvenB_vs_Medium_2026-05-28.log
EvenB,Hard,2000,42,0,810,40.5,1190,59.5,2.26,Deflect not dug,Tip not dug,Stuffed,results/draft_gauntlet_EvenB_vs_Hard_2026-05-28.log
RandomA,Easy,2000,42,0,1401,70.0,599,29.9,1.79,Stuffed,Tip not dug,Deflect not dug,results/draft_gauntlet_RandomA_vs_Easy_2026-05-28.log
RandomA,Medium,2000,42,0,1016,50.8,984,49.2,3.2,Tip not dug,Stuffed,Deflect not dug,results/draft_gauntlet_RandomA_vs_Medium_2026-05-28.log
RandomA,Hard,2000,42,0,485,24.2,1515,75.8,2.22,Deflect not dug,Tip not dug,Stuffed,results/draft_gauntlet_RandomA_vs_Hard_2026-05-28.log
RandomB,Easy,2000,42,0,1665,83.2,335,16.8,1.82,Stuffed,Tip not dug,Deflect not dug,results/draft_gauntlet_RandomB_vs_Easy_2026-05-28.log
RandomB,Medium,2000,42,0,1231,61.6,769,38.5,3.05,Tip not dug,Stuffed,Deflect not dug,results/draft_gauntlet_RandomB_vs_Medium_2026-05-28.log
RandomB,Hard,2000,42,0,777,38.9,1223,61.2,2.34,Deflect not dug,Tip not dug,Stuffed,results/draft_gauntlet_RandomB_vs_Hard_2026-05-28.log
