team_a,team_b,mode,games,seed,strategy_a,strategy_b,deck_type_a,deck_type_b,passive_a,passive_b,wins_a,wins_b,win_rate_a,win_rate_b,avg_rallies,avg_exchanges,top_endings
Blitz,Grind,pvp,1000,42,smart,smart,standard,standard,,Deep Bench,269,731,26.9,73.1,25.025,2.553,Stuffed:10678 | Tip not dug:3624 | Deflect not dug:3203
Blitz,Easy,pvd,1000,43,smart,dummy,standard,dummy,,Safe Setter,719,281,71.9,28.1,25.596,1.754,Stuffed:5597 | Tip not dug:4159 | Deflect not dug:2266
Blitz,Medium,pvd,1000,44,smart,dummy,standard,dummy,,Back Court Threat,627,373,62.7,37.3,25.173,3.098,Tip not dug:10341 | Stuffed:4958 | Deflect not dug:3461
Blitz,Hard,pvd,1000,45,smart,dummy,standard,dummy,,Elite Draw,277,723,27.7,72.3,25.524,2.233,Deflect not dug:5180 | Tip not dug:4986 | Stuffed:4315
Blitz,Spread,pvp,1000,46,smart,smart,standard,standard,,Lane Chess,457,543,45.7,54.3,25.571,2.907,Stuffed:9128 | Deflect not dug:3855 | Tip not dug:3727
Blitz,Backline,pvp,1000,47,smart,smart,standard,standard,,Transition Sniper,403,597,40.3,59.7,25.114,2.691,Stuffed:9912 | Deflect not dug:4218 | Tip not dug:3557
Grind,Blitz,pvp,1000,48,smart,smart,standard,standard,Deep Bench,,723,277,72.3,27.7,25.017,2.546,Stuffed:10667 | Tip not dug:3650 | Deflect not dug:3189
Grind,Easy,pvd,1000,49,smart,dummy,standard,dummy,Deep Bench,Safe Setter,906,94,90.6,9.4,24.262,1.964,Stuffed:6355 | Tip not dug:3822 | Deflect not dug:2021
Grind,Medium,pvd,1000,50,smart,dummy,standard,dummy,Deep Bench,Back Court Threat,593,407,59.3,40.7,25.334,3.329,Tip not dug:10479 | Stuffed:5890 | Deflect not dug:3086
Grind,Hard,pvd,1000,51,smart,dummy,standard,dummy,Deep Bench,Elite Draw,567,433,56.7,43.3,25.871,2.393,Stuffed:5620 | Tip not dug:5284 | Deflect not dug:5189
Grind,Spread,pvp,1000,52,smart,smart,standard,standard,Deep Bench,Lane Chess,659,341,65.9,34.1,25.129,2.749,Stuffed:10536 | Tip not dug:3917 | Deflect not dug:3409
Grind,Backline,pvp,1000,53,smart,smart,standard,standard,Deep Bench,Transition Sniper,656,344,65.6,34.4,25.059,2.648,Stuffed:11436 | Deflect not dug:4224 | Tip not dug:3619
Spread,Blitz,pvp,1000,54,smart,smart,standard,standard,Lane Chess,,534,466,53.4,46.6,25.374,2.947,Stuffed:9146 | Deflect not dug:3846 | Tip not dug:3688
Spread,Grind,pvp,1000,55,smart,smart,standard,standard,Lane Chess,Deep Bench,331,669,33.1,66.9,25.023,2.719,Stuffed:10371 | Tip not dug:3860 | Deflect not dug:3452
Spread,Easy,pvd,1000,56,smart,dummy,standard,dummy,Lane Chess,Safe Setter,790,210,79.0,21.0,25.315,1.845,Stuffed:5959 | Tip not dug:4538 | Deflect not dug:2356
Spread,Medium,pvd,1000,57,smart,dummy,standard,dummy,Lane Chess,Back Court Threat,506,494,50.6,49.4,25.374,3.199,Tip not dug:11075 | Stuffed:5549 | Deflect not dug:3360
Spread,Hard,pvd,1000,58,smart,dummy,standard,dummy,Lane Chess,Elite Draw,407,593,40.7,59.3,25.97,2.307,Tip not dug:5531 | Stuffed:4990 | Deflect not dug:4869
Spread,Backline,pvp,1000,59,smart,smart,standard,standard,Lane Chess,Transition Sniper,454,546,45.4,54.6,25.261,2.974,Stuffed:10042 | Deflect not dug:4688 | Tip not dug:3561
Backline,Blitz,pvp,1000,60,smart,smart,standard,standard,Transition Sniper,,601,399,60.1,39.9,25.096,2.725,Stuffed:10024 | Deflect not dug:4096 | Tip not dug:3482
Backline,Grind,pvp,1000,61,smart,smart,standard,standard,Transition Sniper,Deep Bench,329,671,32.9,67.1,24.952,2.639,Stuffed:11481 | Deflect not dug:4160 | Tip not dug:3595
Backline,Easy,pvd,1000,62,smart,dummy,standard,dummy,Transition Sniper,Safe Setter,880,120,88.0,12.0,24.409,1.898,Stuffed:5929 | Tip not dug:4783 | Deflect not dug:2351
Backline,Medium,pvd,1000,63,smart,dummy,standard,dummy,Transition Sniper,Back Court Threat,562,438,56.2,43.8,25.157,3.216,Tip not dug:10775 | Stuffed:5477 | Deflect not dug:3700
Backline,Hard,pvd,1000,64,smart,dummy,standard,dummy,Transition Sniper,Elite Draw,448,552,44.8,55.2,25.876,2.363,Deflect not dug:5699 | Tip not dug:5598 | Stuffed:5278
Backline,Spread,pvp,1000,65,smart,smart,standard,standard,Transition Sniper,Lane Chess,544,456,54.4,45.6,25.11,2.986,Stuffed:10126 | Deflect not dug:4644 | Tip not dug:3563
